      S-1:          S-2:          S-3:          S-4:          S-5:          S-6:          S-7:          S-8:          S-9:    
  14166.177908      0.000003      0.000000      0.000001      0.000001      0.000002      0.000005      0.000000      0.000000      0.000000
  14261.974585      0.000003      0.000000      0.000001      0.000001      0.000002      0.000005      0.000000      0.000000      0.000000
  14357.771261      0.000003      0.000000      0.000002      0.000002      0.000002      0.000006      0.000000      0.000000      0.000000
  14453.567937      0.000003      0.000000      0.000002      0.000002      0.000002      0.000006      0.000000      0.000000      0.000000
  14549.364614      0.000003      0.000000      0.000002      0.000002      0.000002      0.000006      0.000000      0.000000      0.000000
  14645.161290      0.000003      0.000000      0.000002      0.000002      0.000002      0.000006      0.000000      0.000000      0.000000
  14740.957967      0.000003      0.000000      0.000002      0.000002      0.000002      0.000006      0.000000      0.000000      0.000000
  14836.754643      0.000003      0.000000      0.000002      0.000002      0.000002      0.000007      0.000000      0.000000      0.000000
  14932.551320      0.000004      0.000000      0.000002      0.000002      0.000002      0.000007      0.000000      0.000000      0.000000
  15028.347996      0.000004      0.000000      0.000002      0.000002      0.000002      0.000007      0.000000      0.000000      0.000000
  15124.144673      0.000004      0.000000      0.000002      0.000002      0.000002      0.000007      0.000000      0.000000      0.000000
  15219.941349      0.000004      0.000000      0.000002      0.000002      0.000002      0.000008      0.000001      0.000000      0.000000
  15315.738025      0.000004      0.000000      0.000002      0.000002      0.000002      0.000008      0.000001      0.000000      0.000001
  15411.534702      0.000004      0.000000      0.000002      0.000002      0.000002      0.000008      0.000001      0.000000      0.000001
  15507.331378      0.000004      0.000000      0.000002      0.000002      0.000002      0.000008      0.000001      0.000000      0.000001
  15603.128055      0.000004      0.000000      0.000002      0.000002      0.000003      0.000009      0.000001      0.000000      0.000001
  15698.924731      0.000005      0.000000      0.000002      0.000002      0.000003      0.000009      0.000001      0.000000      0.000001
  15794.721408      0.000005      0.000000      0.000002      0.000002      0.000003      0.000009      0.000001      0.000000      0.000001
  15890.518084      0.000005      0.000000      0.000003      0.000003      0.000003      0.000010      0.000001      0.000000      0.000001
  15986.314761      0.000005      0.000000      0.000003      0.000003      0.000003      0.000010      0.000001      0.000000      0.000001
  16082.111437      0.000005      0.000000      0.000003      0.000003      0.000003      0.000010      0.000001      0.000000      0.000001
  16177.908113      0.000005      0.000000      0.000003      0.000003      0.000003      0.000011      0.000001      0.000000      0.000001
  16273.704790      0.000005      0.000000      0.000003      0.000003      0.000003      0.000011      0.000001      0.000000      0.000001
  16369.501466      0.000006      0.000000      0.000003      0.000003      0.000003      0.000011      0.000001      0.000000      0.000001
  16465.298143      0.000006      0.000000      0.000003      0.000003      0.000003      0.000012      0.000001      0.000000      0.000001
  16561.094819      0.000006      0.000000      0.000003      0.000003      0.000003      0.000012      0.000001      0.000000      0.000001
  16656.891496      0.000006      0.000000      0.000003      0.000003      0.000004      0.000012      0.000001      0.000000      0.000001
  16752.688172      0.000006      0.000000      0.000003      0.000003      0.000004      0.000013      0.000001      0.000000      0.000001
  16848.484848      0.000007      0.000000      0.000003      0.000003      0.000004      0.000013      0.000001      0.000000      0.000001
  16944.281525      0.000007      0.000000      0.000003      0.000004      0.000004      0.000014      0.000001      0.000000      0.000001
  17040.078201      0.000007      0.000000      0.000004      0.000004      0.000004      0.000014      0.000001      0.000000      0.000001
  17135.874878      0.000007      0.000000      0.000004      0.000004      0.000004      0.000014      0.000001      0.000000      0.000001
  17231.671554      0.000007      0.000000      0.000004      0.000004      0.000004      0.000015      0.000001      0.000000      0.000001
  17327.468231      0.000008      0.000000      0.000004      0.000004      0.000004      0.000015      0.000001      0.000000      0.000001
  17423.264907      0.000008      0.000000      0.000004      0.000004      0.000004      0.000016      0.000001      0.000000      0.000001
  17519.061584      0.000008      0.000000      0.000004      0.000004      0.000005      0.000016      0.000001      0.000000      0.000001
  17614.858260      0.000008      0.000000      0.000004      0.000004      0.000005      0.000017      0.000001      0.000000      0.000001
  17710.654936      0.000008      0.000000      0.000004      0.000004      0.000005      0.000017      0.000001      0.000000      0.000001
  17806.451613      0.000009      0.000000      0.000004      0.000005      0.000005      0.000018      0.000001      0.000000      0.000001
  17902.248289      0.000009      0.000000      0.000005      0.000005      0.000005      0.000018      0.000001      0.000000      0.000001
  17998.044966      0.000009      0.000000      0.000005      0.000005      0.000005      0.000019      0.000001      0.000000      0.000001
  18093.841642      0.000009      0.000000      0.000005      0.000005      0.000005      0.000019      0.000001      0.000000      0.000001
  18189.638319      0.000010      0.000000      0.000005      0.000005      0.000006      0.000020      0.000001      0.000000      0.000001
  18285.434995      0.000010      0.000000      0.000005      0.000005      0.000006      0.000021      0.000001      0.000000      0.000001
  18381.231672      0.000010      0.000000      0.000005      0.000005      0.000006      0.000021      0.000001      0.000000      0.000001
  18477.028348      0.000010      0.000000      0.000005      0.000006      0.000006      0.000022      0.000001      0.000001      0.000001
  18572.825024      0.000011      0.000000      0.000006      0.000006      0.000006      0.000022      0.000002      0.000001      0.000001
  18668.621701      0.000011      0.000000      0.000006      0.000006      0.000006      0.000023      0.000002      0.000001      0.000002
  18764.418377      0.000011      0.000000      0.000006      0.000006      0.000006      0.000024      0.000002      0.000001      0.000002
  18860.215054      0.000012      0.000000      0.000006      0.000006      0.000007      0.000024      0.000002      0.000001      0.000002
  18956.011730      0.000012      0.000000      0.000006      0.000006      0.000007      0.000025      0.000002      0.000001      0.000002
  19051.808407      0.000012      0.000000      0.000006      0.000007      0.000007      0.000026      0.000002      0.000001      0.000002
  19147.605083      0.000013      0.000000      0.000006      0.000007      0.000007      0.000026      0.000002      0.000001      0.000002
  19243.401760      0.000013      0.000000      0.000007      0.000007      0.000007      0.000027      0.000002      0.000001      0.000002
  19339.198436      0.000013      0.000000      0.000007      0.000007      0.000008      0.000028      0.000002      0.000001      0.000002
  19434.995112      0.000014      0.000000      0.000007      0.000007      0.000008      0.000029      0.000002      0.000001      0.000002
  19530.791789      0.000014      0.000000      0.000007      0.000007      0.000008      0.000029      0.000002      0.000001      0.000002
  19626.588465      0.000014      0.000000      0.000007      0.000008      0.000008      0.000030      0.000002      0.000001      0.000002
  19722.385142      0.000015      0.000000      0.000008      0.000008      0.000008      0.000031      0.000002      0.000001      0.000002
  19818.181818      0.000015      0.000000      0.000008      0.000008      0.000009      0.000032      0.000002      0.000001      0.000002
  19913.978495      0.000015      0.000000      0.000008      0.000008      0.000009      0.000033      0.000002      0.000001      0.000002
  20009.775171      0.000016      0.000000      0.000008      0.000008      0.000009      0.000034      0.000002      0.000001      0.000002
  20105.571848      0.000016      0.000000      0.000008      0.000009      0.000009      0.000034      0.000002      0.000001      0.000002
  20201.368524      0.000017      0.000000      0.000009      0.000009      0.000010      0.000035      0.000002      0.000001      0.000002
  20297.165200      0.000017      0.000000      0.000009      0.000009      0.000010      0.000036      0.000002      0.000001      0.000002
  20392.961877      0.000017      0.000000      0.000009      0.000009      0.000010      0.000037      0.000003      0.000001      0.000002
  20488.758553      0.000018      0.000000      0.000009      0.000010      0.000010      0.000038      0.000003      0.000001      0.000003
  20584.555230      0.000018      0.000000      0.000009      0.000010      0.000011      0.000039      0.000003      0.000001      0.000003
  20680.351906      0.000019      0.000000      0.000010      0.000010      0.000011      0.000040      0.000003      0.000001      0.000003
  20776.148583      0.000019      0.000000      0.000010      0.000010      0.000011      0.000041      0.000003      0.000001      0.000003
  20871.945259      0.000020      0.000000      0.000010      0.000011      0.000011      0.000042      0.000003      0.000001      0.000003
  20967.741935      0.000020      0.000000      0.000010      0.000011      0.000012      0.000043      0.000003      0.000001      0.000003
  21063.538612      0.000021      0.000000      0.000011      0.000011      0.000012      0.000045      0.000003      0.000001      0.000003
  21159.335288      0.000021      0.000000      0.000011      0.000011      0.000012      0.000046      0.000003      0.000001      0.000003
  21255.131965      0.000022      0.000000      0.000011      0.000012      0.000012      0.000047      0.000003      0.000001      0.000003
  21350.928641      0.000022      0.000000      0.000011      0.000012      0.000013      0.000048      0.000003      0.000001      0.000003
  21446.725318      0.000023      0.000000      0.000012      0.000012      0.000013      0.000049      0.000003      0.000001      0.000003
  21542.521994      0.000023      0.000000      0.000012      0.000012      0.000013      0.000050      0.000003      0.000001      0.000003
  21638.318671      0.000024      0.000000      0.000012      0.000013      0.000014      0.000052      0.000004      0.000001      0.000003
  21734.115347      0.000024      0.000000      0.000013      0.000013      0.000014      0.000053      0.000004      0.000001      0.000003
  21829.912023      0.000025      0.000000      0.000013      0.000013      0.000014      0.000054      0.000004      0.000001      0.000004
  21925.708700      0.000025      0.000000      0.000013      0.000014      0.000015      0.000056      0.000004      0.000001      0.000004
  22021.505376      0.000026      0.000000      0.000013      0.000014      0.000015      0.000057      0.000004      0.000001      0.000004
  22117.302053      0.000027      0.000000      0.000014      0.000014      0.000015      0.000058      0.000004      0.000001      0.000004
  22213.098729      0.000027      0.000000      0.000014      0.000015      0.000016      0.000060      0.000004      0.000001      0.000004
  22308.895406      0.000028      0.000000      0.000014      0.000015      0.000016      0.000061      0.000004      0.000001      0.000004
  22404.692082      0.000029      0.000000      0.000015      0.000015      0.000017      0.000063      0.000004      0.000001      0.000004
  22500.488759      0.000029      0.000000      0.000015      0.000016      0.000017      0.000064      0.000004      0.000002      0.000004
  22596.285435      0.000030      0.000000      0.000015      0.000016      0.000017      0.000066      0.000005      0.000002      0.000004
  22692.082111      0.000031      0.000000      0.000016      0.000016      0.000018      0.000067      0.000005      0.000002      0.000004
  22787.878788      0.000031      0.000000      0.000016      0.000017      0.000018      0.000069      0.000005      0.000002      0.000005
  22883.675464      0.000032      0.000000      0.000017      0.000017      0.000019      0.000071      0.000005      0.000002      0.000005
  22979.472141      0.000033      0.000000      0.000017      0.000018      0.000019      0.000072      0.000005      0.000002      0.000005
  23075.268817      0.000033      0.000000      0.000017      0.000018      0.000019      0.000074      0.000005      0.000002      0.000005
  23171.065494      0.000034      0.000000      0.000018      0.000018      0.000020      0.000076      0.000005      0.000002      0.000005
  23266.862170      0.000035      0.000000      0.000018      0.000019      0.000020      0.000077      0.000005      0.000002      0.000005
  23362.658847      0.000036      0.000000      0.000018      0.000019      0.000021      0.000079      0.000005      0.000002      0.000005
  23458.455523      0.000037      0.000000      0.000019      0.000020      0.000021      0.000081      0.000006      0.000002      0.000005
  23554.252199      0.000037      0.000000      0.000019      0.000020      0.000022      0.000083      0.000006      0.000002      0.000005
  23650.048876      0.000038      0.000000      0.000020      0.000020      0.000022      0.000085      0.000006      0.000002      0.000006
  23745.845552      0.000039      0.000000      0.000020      0.000021      0.000023      0.000087      0.000006      0.000002      0.000006
  23841.642229      0.000040      0.000000      0.000021      0.000021      0.000023      0.000089      0.000006      0.000002      0.000006
  23937.438905      0.000041      0.000000      0.000021      0.000022      0.000024      0.000091      0.000006      0.000002      0.000006
  24033.235582      0.000042      0.000000      0.000022      0.000022      0.000024      0.000093      0.000006      0.000002      0.000006
  24129.032258      0.000043      0.000000      0.000022      0.000023      0.000025      0.000095      0.000007      0.000002      0.000006
  24224.828935      0.000043      0.000000      0.000022      0.000023      0.000025      0.000097      0.000007      0.000002      0.000006
  24320.625611      0.000044      0.000000      0.000023      0.000024      0.000026      0.000099      0.000007      0.000002      0.000007
  24416.422287      0.000045      0.000000      0.000023      0.000024      0.000026      0.000102      0.000007      0.000002      0.000007
  24512.218964      0.000046      0.000000      0.000024      0.000025      0.000027      0.000104      0.000007      0.000002      0.000007
  24608.015640      0.000047      0.000000      0.000025      0.000025      0.000027      0.000106      0.000007      0.000003      0.000007
  24703.812317      0.000048      0.000000      0.000025      0.000026      0.000028      0.000109      0.000007      0.000003      0.000007
  24799.608993      0.000049      0.000000      0.000026      0.000027      0.000029      0.000111      0.000008      0.000003      0.000007
  24895.405670      0.000050      0.000000      0.000026      0.000027      0.000029      0.000113      0.000008      0.000003      0.000007
  24991.202346      0.000052      0.000000      0.000027      0.000028      0.000030      0.000116      0.000008      0.000003      0.000008
  25086.999022      0.000053      0.000000      0.000027      0.000028      0.000031      0.000118      0.000008      0.000003      0.000008
  25182.795699      0.000054      0.000000      0.000028      0.000029      0.000031      0.000121      0.000008      0.000003      0.000008
  25278.592375      0.000055      0.000000      0.000028      0.000030      0.000032      0.000124      0.000009      0.000003      0.000008
  25374.389052      0.000056      0.000000      0.000029      0.000030      0.000033      0.000126      0.000009      0.000003      0.000008
  25470.185728      0.000057      0.000000      0.000030      0.000031      0.000033      0.000129      0.000009      0.000003      0.000009
  25565.982405      0.000058      0.000000      0.000030      0.000031      0.000034      0.000132      0.000009      0.000003      0.000009
  25661.779081      0.000060      0.000000      0.000031      0.000032      0.000035      0.000135      0.000009      0.000003      0.000009
  25757.575758      0.000061      0.000000      0.000031      0.000033      0.000035      0.000138      0.000009      0.000003      0.000009
  25853.372434      0.000062      0.000000      0.000032      0.000033      0.000036      0.000141      0.000010      0.000003      0.000009
  25949.169110      0.000063      0.000000      0.000033      0.000034      0.000037      0.000144      0.000010      0.000003      0.000009
  26044.965787      0.000065      0.000000      0.000033      0.000035      0.000038      0.000147      0.000010      0.000003      0.000010
  26140.762463      0.000066      0.000000      0.000034      0.000036      0.000038      0.000150      0.000010      0.000004      0.000010
  26236.559140      0.000067      0.000000      0.000035      0.000036      0.000039      0.000153      0.000011      0.000004      0.000010
  26332.355816      0.000069      0.000000      0.000036      0.000037      0.000040      0.000156      0.000011      0.000004      0.000010
  26428.152493      0.000070      0.000000      0.000036      0.000038      0.000041      0.000160      0.000011      0.000004      0.000011
  26523.949169      0.000072      0.000000      0.000037      0.000039      0.000042      0.000163      0.000011      0.000004      0.000011
  26619.745846      0.000073      0.000000      0.000038      0.000039      0.000042      0.000166      0.000011      0.000004      0.000011
  26715.542522      0.000075      0.000000      0.000039      0.000040      0.000043      0.000170      0.000012      0.000004      0.000011
  26811.339198      0.000076      0.000000      0.000039      0.000041      0.000044      0.000173      0.000012      0.000004      0.000011
  26907.135875      0.000078      0.000000      0.000040      0.000042      0.000045      0.000177      0.000012      0.000004      0.000012
  27002.932551      0.000079      0.000000      0.000041      0.000043      0.000046      0.000181      0.000012      0.000004      0.000012
  27098.729228      0.000081      0.000000      0.000042      0.000043      0.000047      0.000184      0.000013      0.000004      0.000012
  27194.525904      0.000082      0.000000      0.000043      0.000044      0.000048      0.000188      0.000013      0.000004      0.000012
